StateLong;State;Veteran Population;TotalExpenditures;CompensationAndPension;Construction;EducationAndVocRehab;LoanGuaranty;OperatingExp;InsuranceAndIndemnities;MedicalAndGOE;UniquePatient;Year
Pennsylvania                                                                                                                   ;PA;1057072.89;2840523.16;1167287.26;73036.57;84552.99;0.00;109245.52;90000.44;1316400.38;239251.00;2007
Rhode Island                                                                                                                   ;RI;79616.18;274899.08;125657.29;132.04;7462.40;0.00;7821.73;8028.47;125797.15;20349.00;2007
South Carolina                                                                                                                 ;SC;410076.50;1381426.63;756713.93;8074.02;62446.18;0.00;22379.41;23860.79;507952.29;99162.00;2007
South Dakota                                                                                                                   ;SD;74273.48;352533.53;136364.59;0.00;11999.26;0.00;5721.87;4917.47;193530.34;30476.00;2007
Tennessee                                                                                                                      ;TN;512156.11;1685554.60;785980.48;8989.62;61461.41;0.00;35636.58;27720.07;765766.44;119208.00;2007
Texas                                                                                                                          ;TX;1707365.41;6282525.11;3215515.93;17536.25;311970.10;205062.86;144522.16;105190.29;2282727.53;391155.00;2007
Utah                                                                                                                           ;UT;157011.80;446917.09;183098.46;308.75;21141.23;0.00;14547.94;11548.22;216272.49;31075.00;2007
Vermont                                                                                                                        ;VT;55382.17;176808.35;72724.78;11.86;18284.64;0.00;2909.56;4378.79;78498.72;14850.00;2007
Virginia                                                                                                                       ;VA;807325.91;2124954.46;1167854.43;3257.91;145009.24;0.00;44808.27;53846.77;710177.84;119475.00;2007
Washington                                                                                                                     ;WA;643302.18;1782903.73;1025951.47;4929.06;94879.62;0.00;26600.29;40864.98;589678.31;93320.00;2007
West Virginia                                                                                                                  ;WV;177544.14;895328.17;375149.35;3313.34;57728.86;0.00;47233.75;9282.66;402620.21;60714.00;2007
Wisconsin                                                                                                                     ;WI;446414.69;1282246.74;571184.54;562.86;42449.76;0.00;29354.99;35705.10;602989.49;110554.00;2007
Wyoming                                                                                                                        ;WY;56124.83;192589.24;73165.81;553.56;5289.03;0.00;855.57;2873.69;109851.58;18451.00;2007
Puerto Rico                                                                                                                   ;#N/A;122640.28;929403.71;466295.92;30668.93;20672.10;0.00;15254.69;2468.05;394044.02;63186.00;2007
